"DATE","TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","ON STREET NAME","CROSS STREET NAME","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","NUMBER OF PEDESTRIANS INJURED","NUMBER OF PEDESTRIANS KILLED","NUMBER OF CYCLIST INJURED","NUMBER OF CYCLIST KILLED","NUMBER OF MOTORIST INJURED","NUMBER OF MOTORIST KILLED","CONTRIBUTING FACTOR VEHICLE 1","CONTRIBUTING FACTOR VEHICLE 2","UNIQUE KEY","VEHICLE TYPE CODE 1","VEHICLE TYPE CODE 2"
"08/24/2015","12:24","MANHATTAN",10001,40.7570213,-74.004927,"JOE DIMAGGIO HIGHWAY","WEST 34 STREET",0,0,0,0,0,0,0,0,"Physical Disability","Unspecified",3283745,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON"
"08/24/2015","12:25","MANHATTAN",10037,40.8160255,-73.9394577,"WEST 138 STREET","LENOX AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",3283850,"SMALL COM VEH(4 TIRES)","PASSENGER VEHICLE"
"08/24/2015","12:25","MANHATTAN",10014,40.7357219,-74.0067982,"WEST 11 STREET","GREENWICH STREET",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",3283723,"TAXI","TAXI"
"08/24/2015","12:29","MANHATTAN",10016,40.747009,-73.9771875,"EAST 36 STREET","3 AVENUE",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",3283226,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON"
"08/24/2015","12:30","MANHATTAN",10019,40.7617706,-73.979056,"WEST 53 STREET","6 AVENUE",1,0,0,0,0,0,1,0,"Unspecified",,3285118,"PASSENGER VEHICLE",
"08/24/2015","12:30","MANHATTAN",10036,40.758981,-73.9959428,"10 AVENUE","WEST 41 STREET",0,0,0,0,0,0,0,0,"Fatigued/Drowsy","Unspecified",3283735,"BUS","SPORT UTILITY / STATION WAGON"
"08/24/2015","12:50","MANHATTAN",10028,40.7808583,-73.9609091,"EAST 85 STREET","5 AVENUE",0,0,0,0,0,0,0,0,"Other Vehicular","Other Vehicular",3283243,"TAXI","LARGE COM VEH(6 OR MORE TIRES)"
"08/24/2015","1:30","MANHATTAN",10011,40.7493029,-74.0080628,"12 AVENUE","WEST 23 STREET",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",3283212,"PASSENGER VEHICLE","UNKNOWN"
"08/24/2015","13:22","MANHATTAN",10029,40.7986223,-73.9416189,"LEXINGTON AVENUE","EAST 116 STREET",0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified",3283270,"BUS","SPORT UTILITY / STATION WAGON"
"08/24/2015","13:30","MANHATTAN",10001,40.7477688,-74.000397,"9 AVENUE","WEST 25 STREET",0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified",3283741,"PASSENGER VEHICLE","PASSENGER VEHICLE"
